,task_id,participant_id,citation_design,context_stakeness,source_reliability,task_duration,task_num_clicks,task_num_sr_clicks,task_num_aio_clicks,task_num_cd_clicks,task_show_more_clicks,task_num_external_clicks,task_time_aio,task_time_sr,task_time_cd,task_time_sr_aio,task_time_fraction_sr,task_time_fraction_aio,task_time_fraction_cd,task_num_mouse_movements,task_num_scrolls,task_num_down_scrolls,task_num_up_scrolls,task_median_scroll_duration,task_median_up_scroll_duration,task_median_down_scroll_duration,task_median_scroll_distance,task_median_up_scroll_distance,task_median_down_scroll_distance
65,1,5b49081c03732f000161ef3d,icon,high,high_reliability,78674,1,1,0,0,0,1,0.1594000002145767,1.609,0.0,1.7684000002145768,0.9098620220565284,0.0901379779434716,0.0,1,13,9,4,0.5133999999761585,0.2457499999403989,0.5996000000238428,46.399993896484375,-260.00001525878906,51.20001220703125
66,1,5b51c33d026602000178b5ec,domain,low,low_reliability,7729,1,0,1,0,1,0,0.596,0.0,0.0,0.596,0.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
67,1,5b52f4933234ab00014ca442,number,high,low_reliability,170068,1,1,0,0,0,1,14.782799999952315,115.278,0.0,130.0607999999523,0.8863393120759082,0.1136606879240919,0.0,1,25,22,3,0.4347000000476839,0.4669000000953787,0.4346000000238348,41.0,-478.0,42.0
68,1,5b5ecd4b7757ed000198d434,domain,low,high_reliability,134288,3,2,1,0,1,2,7.32429999999702,8.90589999999106,0.2028999999985098,16.230199999988077,0.5487239836845882,0.451276016315412,0.0125013863044607,2,13,7,6,0.2796999999955289,0.2757499999962789,0.2833000000044698,3.0,-597.0,397.0
69,1,5b70d5cf48302c0001ba0771,domain,high,original,133848,3,1,2,1,1,2,30.30900000011921,19.91510000014305,1.514600000143051,50.22410000026227,0.3965247759549509,0.6034752240450488,0.0301568370590043,1,26,17,9,0.3432999999523165,0.3534999999999968,0.3426000000238431,99.05661010742188,-299.05660247802734,99.056640625
70,1,5b72d8042aeef10001972da0,number,low,original,9929,0,0,0,0,0,0,0.2333999999999068,0.0,0.0,0.2333999999999068,0.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
71,1,5b8a73434457e80001f25697,icon,high,low_reliability,99592,1,1,0,0,0,1,0.0056999999955296,32.907700000010436,0.0,32.913400000005964,0.99982681825653,0.00017318174347,0.0,1,14,8,6,0.3646499999985142,0.3423000000007441,0.3753000000007453,119.42858013510704,-399.42858123779297,199.4285725057125
72,1,5b9ca13a06114100010699b8,number,low,low_reliability,14208,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
73,1,5ba22638474398000172c47b,number,high,low_reliability,172274,3,2,1,0,1,2,13.804200000017882,83.74359999999405,0.0,97.54780000001192,0.8584878387824616,0.1415121612175384,0.0,2,12,8,4,0.3917499999999947,0.3347499999999996,0.3917499999999947,101.5,-248.5,168.5
74,1,5bb7b83ab791890001f4fd90,icon,high,high_reliability,11945,0,0,0,0,0,0,0.9990999999046324,0.4815,0.0,1.4805999999046326,0.3252059975895002,0.6747940024104997,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
75,1,5bbbf217a83521000173d9df,domain,high,low_reliability,151508,1,1,0,0,0,1,8.03360000000149,2.6148000000044704,0.5172000000029803,10.64840000000596,0.2455580181062889,0.7544419818937111,0.048570677285103,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
76,1,5bce39ceb8bc680001c67555,number,low,low_reliability,42604,0,0,0,0,0,0,2.6677999997138975,34.0682000002861,0.0,36.736,0.92737913763845,0.0726208623615499,0.0,0,8,6,2,0.7534000000953669,0.325649999856946,0.8228500001430512,161.0,-809.75,182.0
77,1,5bd2034025db7b000178ad8a,icon,high,low_reliability,88596,1,1,0,0,0,1,5.711,1.871,0.0,7.582000000000001,0.2467686626219994,0.7532313373780005,0.0,1,2,1,1,0.349999999999997,0.3469999999999942,0.3529999999999997,-1.2000023126602173,-104.8000030517578,102.39999842643738
78,1,5bdad3fa0bde32000170745b,icon,low,low_reliability,11170,1,0,1,0,1,0,1.102800000011921,0.7885999999940395,0.0,1.8914000000059603,0.4169398329235245,0.5830601670764753,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
79,1,5bdf514805ba8e0001965d25,icon,high,low_reliability,37499,1,1,0,0,0,1,0.0822000000029802,1.1477000000029802,0.0,1.2299000000059606,0.9331652979896072,0.0668347020103926,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
80,1,5bf1de1556a321000106fae0,number,high,high_reliability,43353,1,0,1,0,1,0,0.502,0.5700999999998603,0.0,1.0720999999998604,0.5317600970058153,0.4682399029941846,0.0,0,6,4,2,0.3880499999999305,0.3470000000000031,0.4047499999999999,199.0,-399.0,199.0
82,1,5bfb200269fe300001e88ffe,number,high,original,40335,1,0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
